zone_id,coordinates
96,"[[[[34.09584491832294, 0.466727514083999], [34.096102330422326, 0.466695025178251], [34.09610782854484, 0.466723515449445], [34.096145315743776, 0.466719016985573], [34.096143066511836, 0.466701023130082], [34.09684182790006, 0.46657856494688], [34.09685532329168, 0.466622549926969], [34.09687781561104, 0.466620050780373], [34.096885812880146, 0.466644042587694], [34.09703976031046, 0.466617051804458], [34.09708724409579, 0.466978428402234], [34.09703526184659, 0.466987175415319], [34.09704150971308, 0.467035658859281], [34.096962536680635, 0.46704840450692], [34.09697253326703, 0.467109383683862], [34.09693354658013, 0.467128627112651], [34.09687856535503, 0.467238339648213], [34.09689056125868, 0.467268329407365], [34.09675460768386, 0.467332307560222], [34.09620779440867, 0.467414279568569], [34.096118824789855, 0.467398285030355], [34.09605084800245, 0.467341304487967], [34.09600211464383, 0.467257333162343], [34.09596212829829, 0.467150869517355], [34.09590314843862, 0.466925946323718], [34.09592114229412, 0.466923947006442], [34.09590789681716, 0.466848972608563], [34.09584491832294, 0.466727514083999]]]]"
97,"[[[[34.081664010793524, 0.46883079585916], [34.08161802649616, 0.468847790056013], [34.081720991335914, 0.469170679796211], [34.08175997802281, 0.469163682185742], [34.08178197051286, 0.469252651804558], [34.081471076676316, 0.469296886699307], [34.08130413368371, 0.468804804734562], [34.0813481186638, 0.468790809513625], [34.0813481186638, 0.468776814292687], [34.08161102888569, 0.468718834091661], [34.081620025813436, 0.468755821461281], [34.08164601693804, 0.468742825898982], [34.081664010793524, 0.46883079585916]]]]"
98,"[[[[34.08833604493938, 0.468424715776649], [34.088541974618884, 0.468329248376684], [34.08858945840421, 0.468425965349947], [34.08861494969948, 0.468410470641052], [34.088703419488986, 0.468587910049366], [34.08881888006172, 0.468527680616403], [34.088780393204146, 0.468439710656225], [34.088767897471165, 0.468442209802821], [34.08837753077289, 0.467569257896852], [34.08826456934675, 0.467703212154396], [34.08817959836249, 0.467650230246561], [34.08824157719806, 0.467531270868593], [34.08821202478955, 0.467446143687668], [34.08792212378442, 0.467573600164062], [34.08789463317187, 0.467556605967209], [34.087871141193865, 0.467570101358827], [34.08788213743889, 0.467595092824787], [34.08748727227673, 0.467780779416867], [34.0874837734715, 0.467793774979166], [34.08746428012805, 0.467799273101677], [34.087455783029625, 0.467781779075505], [34.08740305103647, 0.467801897205603], [34.08737930914379, 0.467744791705885], [34.08743329071026, 0.46771730109333], [34.08740580009771, 0.467646700201994], [34.08738180829039, 0.467658696105654], [34.0873638144349, 0.46762420788263], [34.0873873064129, 0.467606214027139], [34.087319829454806, 0.467436646930603], [34.08723735761715, 0.467470135494989], [34.08724985335012, 0.46749412730231], [34.087190373661144, 0.467522617573504], [34.087176878269524, 0.467493127643672], [34.08714189021718, 0.467509622011205], [34.08715938424335, 0.467541111258314], [34.08712439619101, 0.467557605625848], [34.08714388953445, 0.467595592654106], [34.08717387929361, 0.467578098627934], [34.08718812442922, 0.467601965477926], [34.087156385267434, 0.467625582413258], [34.08725935010718, 0.46784100884983], [34.087333074931784, 0.467813893109263], [34.08735206844592, 0.467854879113437], [34.086930462415154, 0.468030943991123], [34.08688322854451, 0.468021322276728], [34.08669729203776, 0.467711428098829], [34.08657808274512, 0.467765784537291], [34.086595576771295, 0.467795774296443], [34.08658508035559, 0.467800272760316], [34.08660757267495, 0.467841758593809], [34.08661556994406, 0.467835260812659], [34.086750773774895, 0.46811953873795], [34.08670678879481, 0.468183017061487], [34.086391896323725, 0.468346711163522], [34.0862949294358, 0.468126161476429], [34.086219955037926, 0.468164148504688], [34.086193464084005, 0.468107667791619], [34.085998530649526, 0.468203635020904], [34.08613398439503, 0.468461671906937], [34.08554593520101, 0.468715585201086], [34.08549795158637, 0.468619617971802], [34.08557492530152, 0.468592627188565], [34.08552519228426, 0.468493910898025], [34.08534425407071, 0.46855888870952], [34.08532426089795, 0.468507406289643], [34.08530976584769, 0.468508655862941], [34.08531026567701, 0.468525899974453], [34.08517806082209, 0.468576632650351], [34.08528302497911, 0.468904520683741], [34.085466212424606, 0.468856287154439], [34.08546571259529, 0.468839792786906], [34.08557192632562, 0.468826797224607], [34.085573675728234, 0.468841542189523], [34.08562290891618, 0.468829046456543], [34.085617160878996, 0.468804804734562], [34.085667643640235, 0.468794308318859], [34.08567164227479, 0.468820049528798], [34.0857501154779, 0.46880043122802], [34.08574261803812, 0.468766192919655], [34.08579385054333, 0.468755946418611], [34.08580009840982, 0.468785936177763], [34.085943049595116, 0.468741201453695], [34.08600552825998, 0.468720958366268], [34.086039516653685, 0.468739951880397], [34.08606150914373, 0.468796432593466], [34.08612698678455, 0.468765193261017], [34.086087750183, 0.468658479701369], [34.08606025957044, 0.468671225349008], [34.08605576110657, 0.46865198192022], [34.08610624386781, 0.468630739174154], [34.08617996869238, 0.468804804734563], [34.08627743540962, 0.468770816340857], [34.08620545998766, 0.468609496428088], [34.08641088983784, 0.468504657228388], [34.08644287891427, 0.46855888870952], [34.08656058871894, 0.4684971597886], [34.086536346996965, 0.468448676344638], [34.08663531320218, 0.468403191876591], [34.08668729545135, 0.468421185732083], [34.087023180753846, 0.469149437050146], [34.08721811418833, 0.469059467772691], [34.08729258875689, 0.469080460604097], [34.08731058261238, 0.469056968626095], [34.0873605655443, 0.469092456507758], [34.08743154130762, 0.469194921518192], [34.08763547166986, 0.469093955995715], [34.087597984470925, 0.469013358517996], [34.08756749488246, 0.469024854592337], [34.08747152765317, 0.468827422011256], [34.08748702236206, 0.468815176192936], [34.087429042161034, 0.468710212035906], [34.08747852526368, 0.468686595100573], [34.08753600563534, 0.468798681825403], [34.08774443446149, 0.468698591004234], [34.08758698822591, 0.468383573575813], [34.087446036357896, 0.46844155377684], [34.087454033627004, 0.468473542853268], [34.08731308175899, 0.468542519299317], [34.08723960684907, 0.468380699557228], [34.08722811077473, 0.468386697509058], [34.087152261675556, 0.468225408835622], [34.0872812176399, 0.46816442965868], [34.08728021798126, 0.468154433072296], [34.08789856932776, 0.467856284883398], [34.08790319274896, 0.467866156512452], [34.08801265536987, 0.467813674433937], [34.088160105019014, 0.468126317673092], [34.08815010843265, 0.468145061272561], [34.08823058095304, 0.468326749230088], [34.0882765652504, 0.468301257934809], [34.08833604493938, 0.468424715776649]]]]"
99,"[[[[34.08746034397213, 0.467238620802206], [34.0876342845752, 0.467157273580508], [34.08756280898256, 0.466944346290532], [34.087340384935516, 0.467025568554901], [34.08736262734022, 0.467071177980277], [34.0874258557491, 0.467052934210126], [34.08743235353025, 0.467086172859853], [34.08740261368576, 0.467101917483407], [34.08746034397213, 0.467238620802206]]]]"
100,"[[[[34.090074701226186, 0.467515713681034], [34.09019366060414, 0.467563759774341], [34.09022664933921, 0.467630549467118], [34.09033811127739, 0.467569320375517], [34.09030737177426, 0.467509903165198], [34.090386844636015, 0.467473165710238], [34.09037559847633, 0.46744067680449], [34.090305622371645, 0.467473415624897], [34.09031361964075, 0.467493908626984], [34.090193910518806, 0.467563010030362], [34.0900777002021, 0.467517712998311], [34.09024864182926, 0.467927573040048], [34.09087042950231, 0.4675675709729], [34.09083569136464, 0.467494158541644], [34.09086593103844, 0.46747485263419], [34.09080745100809, 0.467353893938945], [34.090780960054175, 0.46736926369051], [34.09069348992332, 0.467176329573302], [34.09004371180838, 0.467467355194402], [34.090074701226186, 0.467515713681034]]]]"
101,"[[[[34.097650614217244, 0.466194664790409], [34.0976428668628, 0.466163675372619], [34.097886533655895, 0.466108006882194], [34.09793901573442, 0.46623065250139], [34.097981251311886, 0.466208347618021], [34.098023736804016, 0.46630194065804], [34.09803098432915, 0.466306689036573], [34.098043480062124, 0.466354422736555], [34.0980337333904, 0.466353922907236], [34.09804273031815, 0.466389473267564], [34.09805622570977, 0.466382475657095], [34.09806747186945, 0.466424773713232], [34.09768810141618, 0.466384599931702], [34.09767160704865, 0.466302440487359], [34.0977053455277, 0.466300191255423], [34.09767510585389, 0.466189916411876], [34.097650614217244, 0.466194664790409]]]]"
102,"[[[[34.09874648999957, 0.465569065918775], [34.09881846542154, 0.465537826586325], [34.09879047497966, 0.4653984991636], [34.098822464056084, 0.465289536372016], [34.09886844835345, 0.465303031763634], [34.098843456887494, 0.465409495408622], [34.099054384860196, 0.465346891786394], [34.09902489493037, 0.46529341004924], [34.09901289902671, 0.465208439064977], [34.09911286489054, 0.465193194270742], [34.099112365061224, 0.465183697513677], [34.099204833485274, 0.465170701951378], [34.09917834253135, 0.46501475520379], [34.09909387137641, 0.465029250254047], [34.099103867962796, 0.465091229089627], [34.09892592872516, 0.465135214069716], [34.09888644220894, 0.465116220555586], [34.09886394988958, 0.465081232503243], [34.098850954327304, 0.465029750083366], [34.09875748624461, 0.465051742573411], [34.098783477369196, 0.465204690345083], [34.09873349443728, 0.465265669522025], [34.09870850297132, 0.465399623779568], [34.09874648999957, 0.465569065918775]]]]"
103,"[[[[34.088818168376505, 0.466166042293721], [34.08879969854476, 0.466121186988065], [34.0888498309452, 0.466083367808786], [34.08910313149479, 0.465958476565586], [34.08927551659104, 0.465874043049056], [34.08930102254916, 0.465837103385575], [34.089404805413224, 0.466041151050521], [34.08895097526188, 0.466210897599377], [34.08890611995622, 0.466129102630239], [34.088818168376505, 0.466166042293721]]]]"
104,"[[[[34.08963963613107, 0.467315129682741], [34.089743418995134, 0.467259720187518], [34.08982873202746, 0.46744969559971], [34.089931635375734, 0.467389888525501], [34.08998440632356, 0.467500707515946], [34.08979355139557, 0.467576345874504], [34.08979267187978, 0.46755875555856], [34.0897557322163, 0.467576345874504], [34.08963963613107, 0.467315129682741]]]]"
105,"[[[[34.084508540970276, 0.465724085605637], [34.084516456612455, 0.465463748929671], [34.0847530463619, 0.465447917645322], [34.08477855232002, 0.465774218006076], [34.08470115492986, 0.465845458785648], [34.08452525177043, 0.46584194072246], [34.084495348233325, 0.465831386532893], [34.084508540970276, 0.465724085605637]]]]"
